"id","issue_title"
22645497418,Enum and optional annotations don't work together
22645550423,"Boundry annotation wrongly created: The description only described an if-case for the boundry, not a requirement."
22645673036,Missing constant annotation when the same value is sometimes converted to string
22645721953,Missing constant annotation when parameter is sometimes string value
22646388623,Missing keyword 'between' for boundary annotation 
22646453947,Closing the detail-view after confirming the correctness of an annotation
22646811283,Save and cancel annotations with shortcuts
22646921087,Disable navigation menu items and shortcuts if annotation form is open
22647581931,Entire changelog for each annotation
22648985341,Possibility to comment on each annotation why it was created or future changes etc
22649133826,"Default value 2**20 is not recognized, wrongly annotated as required"
22649564792,Autogeneration of Instance names for enum annotation
22649675865,Dependency annotation for functions
22650212343,Missing annotation for keyword 'in the range' and upper boundary with 2 asterisks
22650424778,Default settings for boundary annotation interface
22652379598,"Replace `@attribute`, `@constant`, `@optional`, `@required` by one `@value` annotation"
22652477293,New annotation: `@type` to change the type of a declaration
22672730271,Highlight autogenerated annotations
22672744049,Highlight own annotations
22398136396,`annotation:@calledAfter` not working
22404382789,Review automatically created annotations and add missing ones for `scikit-learn`
22775675065,No more than 20 characters per annotation
22786862366,Show parameter info when creating group annotation
22787145869,Need to click twice to unmark annotation as correct
22787240931,Only changing the comment should not add an author to the annotation
22787346322,Show missing annotations in quality view
22787631142,Batch delete annotations
22787861571,New annotation `@expert`
22787887870,`@pure` annotation should also cover the case that a function is not pure but has no side effects
22841082743,Filter for all annotations
22841259607,Filter for manual created/changed annotations
22853208779,Improve generation of @boundary annotations
22853318265,Improve generation of enum annotations
22853413213,Automatically generate `@CalledAfter` annotations
25047940641,Support import of annotations
21810629008,Update code generation for enum annotations
26138558678,Finalize migration of annotations
24826074292,Refactoring in preparation for @Pure annotations
20172476758,Create an annotations file
25590445127,Migrate `@todo` annotations
25590687497,Migrate `@enum` annotations
25729088761, Migrate `@boundary` annotations
25729223621,Migrate `@move` annotations
25729307130, Migrate `@remove` annotations
25881543047, Migrate `@CalledAfter` annotations
25937459966, Migrate `@Group` annotations
25937639346, Migrate `@expert` annotations
22522646909,Wrong constant annotation as parameter exists for convention
22522799214,Wrong required annotation at FunctionTransformer.__init__
22522888997,No required annotation if no value but only variables were set
22523215933,"Missing boundary annotation for parameters like ""number of x"""
22523272846,Missing optional annotation with clear candidate for default
22523351899,Todo annotation for parameters
22523353301,Missing a Optional annotaion
22523439749,Enum annotations have imprecise names
22523552149,No optional annotation when mixing variables and values with clear default value
22523603813,"Wrong required annotation on (0, 1)"
22524311862,Help popup for annotations
22524473105,No element can be annotated as optional and as required
22524605654,Wrong required annotation when mixing None and a variable
22524885905,Enum where no annotation should be generated (because it is a Union-Type)
22524926371,Tuples with constant values should also be literals and @optional annotation should be generated
22525175931,Enum annotation for numbers won't be generated 
22525386548,Wrong required annotation with 'auto' as default type 
22525527962,Wrong required annotation for dtype
22525753014,Boundary annotation gets set even when the provided interval is only valid for one allowed datatype
22525861398,Implementation of boundary annotations should allow for none
22526338427,Explicitly mark annotations as incorrect/disabled
22539310672,Improve annotation merging
22539424433,Don't delete auto-generated annotations
22547338248,When reporting wrong/missing annotations also add usage/API data
25449741329,Migrate `@rename` annotations
22035131268,`@Todo` annotation
22036163828,`@Description` annotation
22036210620,Rename `@Unused` annotation to `@Remove`
22121571297,`@constant` and `@optional` annotations created with non-literal values
22229579509,Authors & reviewers of annotations
21536707798,"Zahlendatei von #447 als Eingabe für ""generate_annotations"""
22267066035,Graphical progress bar for annotation progress
22267956003,Creating a rename/move annotation freezes the api-editor application
22270869892,Quality View for automatically generated annotations
22293263144,`annotation` command generates illegal combinations of annotations
22293386586,No `@constant` annotation created if default value would be float
22314933829,Option to merge annotations on import
22628539188,Generated `@required` annotation even though there is a clear most common value
22040503561,NPE if `@Pure` annotation and another annotation are used on the same API element
